"date","time","sample_type","sample_no","scan","location","gross_wt_orig","tare_wt","dry_wt_orig","net_wt_orig","fm_orig","gross_wt_cor","dry_wt_cor","net_wt_cor","fm_cor","obs_initials_and_notes","qaqc_initials","qaqc_notes","cor_type","correction_notes"
"2021-02-19T00:00:00Z",1025,"SRO",3,"od",3,492.3,462.87,29.33,29.43,0.340947834981326,492.3,29.33,29.43,0.340947834981326,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1025,"SRO",4,"od",3,493.74,460.11,33.49,33.63,0.418035234398287,493.74,33.49,33.63,0.418035234398287,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",5,"od",3,492.12,460.75,30.99,31.37,1.22620200064535,492.12,30.99,31.37,1.22620200064535,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",6,"od",3,491.11,461.68,29.09,29.43,1.168786524579,491.11,29.09,29.43,1.168786524579,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",7,"od",3,488.39,459.81,28.12,28.58,1.6358463726884,488.39,28.12,28.58,1.6358463726884,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",8,"od",3,488.04,457.28,30.35,30.76,1.35090609555198,488.04,30.35,30.76,1.35090609555198,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",9,"od",3,491.49,456.59,34.71,34.9,0.547392682224136,491.49,34.71,34.9,0.547392682224136,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",10,"od",3,495.58,464.97,30.23,30.61,1.25702944095268,495.58,30.23,30.61,1.25702944095268,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",11,"od",3,493.35,461.12,31.78,32.23,1.41598489616125,493.35,31.78,32.23,1.41598489616125,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",12,"od",3,492.6,459.03,33.0700000000001,33.5700000000001,1.51194436044753,492.6,33.0700000000001,33.5700000000001,1.51194436044753,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1014,"SRO",13,"od",3,492.87,461.55,31.32,31.32,0,492.87,31.32,31.32,0,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1014,"SRO",14,"od",3,492.98,461.66,31.32,31.32,0,493.9,32.24,32.24,0,"NT","JT",NA,1,"J. Cronan - Gross weight extrapolated based on linear model of three weights at other sampling locations."
"2021-02-19T00:00:00Z",1014,"SRO",15,"od",3,495.33,462.28,33.05,33.05,0,495.33,33.05,33.05,0,"NT","JT",NA,0,""
"2021-02-19T00:00:00Z",1014,"SRO",16,"od",3,493.46,459.62,33.84,33.84,0,493.46,33.84,33.84,0,"NT","JT",NA,0,""
"2021-02-18T00:00:00Z",1035,"SRO",1,"od",6,497.7,468.33,29.17,29.37,0.685635927322552,497.7,29.17,29.37,0.685635927322552,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1035,"SRO",2,"od",6,489.9,462.23,27.37,27.67,1.09609061015694,489.9,27.37,27.67,1.09609061015694,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1035,"SRO",3,"od",6,492.5,462.87,29.33,29.63,1.02284350494378,492.5,29.33,29.63,1.02284350494378,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1035,"SRO",4,"od",6,493.9,460.11,33.49,33.79,0.895789787996281,493.9,33.49,33.79,0.895789787996281,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1045,"SRO",5,"od",6,492.2,460.75,30.99,31.45,1.48434979025485,492.2,30.99,31.45,1.48434979025485,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1045,"SRO",6,"od",6,491.2,461.68,29.09,29.52,1.4781711928498,491.2,29.09,29.52,1.4781711928498,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1045,"SRO",7,"od",6,488.5,459.81,28.12,28.69,2.027027027027,488.5,28.12,28.69,2.027027027027,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1045,"SRO",8,"od",6,488.1,457.28,30.35,30.8200000000001,1.5485996705108,488.1,30.35,30.8200000000001,1.5485996705108,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1014,"SRO",9,"od",6,491.3,456.59,34.71,34.71,0,491.3,34.71,34.71,0,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1014,"SRO",10,"od",6,495.2,464.97,30.23,30.23,0,495.2,30.23,30.23,0,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1014,"SRO",11,"od",6,492.9,461.12,31.78,31.78,0,492.9,31.78,31.78,0,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1014,"SRO",12,"od",6,492.1,459.03,33.0700000000001,33.0700000000001,0,492.1,33.0700000000001,33.0700000000001,0,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1025,"SRO",13,"od",6,493.1,461.55,31.32,31.55,0.734355044699931,493.1,31.32,31.55,0.734355044699931,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1025,"SRO",14,"od",6,494.1,461.66,31.32,32.44,3.57598978288635,494.1,32.24,32.44,0.620347394541085,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1025,"SRO",15,"od",6,495.6,462.28,33.05,33.3200000000001,0.816944024205866,495.6,33.05,33.3200000000001,0.816944024205866,"JB","JT",NA,0,""
"2021-02-18T00:00:00Z",1025,"SRO",16,"od",6,493.7,459.62,33.84,34.08,0.709219858156056,493.7,33.84,34.08,0.709219858156056,"JB","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",1,"od",9,497.77,468.33,29.17,29.44,0.925608501885436,497.77,29.17,29.44,0.925608501885436,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",2,"od",9,489.89,462.23,27.37,27.66,1.05955425648507,489.89,27.37,27.66,1.05955425648507,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",3,"od",9,492.52,462.87,29.33,29.65,1.09103307193997,492.52,29.33,29.65,1.09103307193997,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",4,"od",9,493.98,460.11,33.49,33.87,1.13466706479545,493.98,33.49,33.87,1.13466706479545,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1014,"SRO",5,"od",9,491.74,460.75,30.99,30.99,0,491.74,30.99,30.99,0,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1014,"SRO",6,"od",9,490.77,461.68,29.09,29.09,0,490.77,29.09,29.09,0,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1014,"SRO",7,"od",9,487.93,459.81,28.12,28.12,0,487.93,28.12,28.12,0,"TD","JT",NA,0,""
