date,time,sample type,Sample,scan,location,gross weight,observor initials/notes,QAQC initials,notes
2021-02-03T00:00:00Z,1308,CC,1,2.0,6,694.6,JB,NT,NA
2021-02-03T00:00:00Z,1331,CC,1,2.0,9,691.83,DN,NT,NA
2021-02-03T00:00:00Z,1223,CC,1,2.0,12,699.8,JT,NT,NA
2021-02-03T00:00:00Z,1245,CC,2,2.0,3,728.16,NT,NT,NA
2021-02-03T00:00:00Z,1308,CC,2,2.0,6,725.3,JB,NT,NA
2021-02-03T00:00:00Z,1331,CC,2,2.0,9,723.02,DN,NT,NA
2021-02-03T00:00:00Z,1223,CC,2,2.0,12,730.4,JT,NT,NA
2021-02-03T00:00:00Z,1245,CC,3,2.0,3,730.04,NT,NT,NA
2021-02-03T00:00:00Z,1308,CC,3,2.0,6,727.2,JB,NT,NA
2021-02-03T00:00:00Z,1331,CC,3,2.0,9,724.72,DN,NT,NA
2021-02-03T00:00:00Z,1223,CC,3,2.0,12,732.6,JT,NT,NA
2021-02-03T00:00:00Z,1245,CC,4,2.0,3,712.27,NT,NT,NA
2021-02-03T00:00:00Z,1308,CC,4,2.0,6,708.9,JB,NT,NA
2021-02-03T00:00:00Z,1331,CC,4,2.0,9,706.3,DN,NT,NA
2021-02-03T00:00:00Z,1223,CC,4,2.0,12,715,JT,NT,NA
2021-02-03T00:00:00Z,1308,CC,5,2.0,3,679.25,JT,NT,NA
2021-02-03T00:00:00Z,1331,CC,5,2.0,6,676.5,JB,NT,NA
2021-02-03T00:00:00Z,1223,CC,5,2.0,9,684.05,DN,NT,NA
2021-02-03T00:00:00Z,1245,CC,5,2.0,12,681.8,JT,NT,NA
2021-02-03T00:00:00Z,1308,CC,6,2.0,3,664.2,JT,NT,NA
2021-02-03T00:00:00Z,1331,CC,6,2.0,6,661.2,JB,NT,NA
2021-02-03T00:00:00Z,1223,CC,6,2.0,9,668.59,DN,NT,NA
2021-02-03T00:00:00Z,1245,CC,6,2.0,12,666.6,JT,NT,NA
2021-02-03T00:00:00Z,1308,CC,7,2.0,3,699.49,JT,NT,NA
2021-02-03T00:00:00Z,1331,CC,7,2.0,6,696.1,JB,NT,NA
2021-02-03T00:00:00Z,1223,CC,7,2.0,9,704.24,DN,NT,NA
2021-02-03T00:00:00Z,1245,CC,7,2.0,12,701.9,JT,NT,NA
2021-02-03T00:00:00Z,1308,CC,8,2.0,3,684.9,JT,NT,NA
2021-02-03T00:00:00Z,1331,CC,8,2.0,6,681,JB,NT,NA
2021-02-03T00:00:00Z,1223,CC,8,2.0,9,689.92,DN,NT,NA
